"고유번호","언어","상호명","콘텐츠URL","주소","신주소","전화번호","팩스번호","웹사이트","운영시간","운영요일","휴무일","교통정보","태그","장애인편의시설"
"24732","ko","SJ쿤스트할레","https://korean.visitseoul.net/attractions/SJ-KUNSTHALLE-kr/KOP024732?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP024732","135-819 서울 강남구 논현동 97-22 ","06054 서울 강남구 언주로148길 5 (논현동) ","","","http://sjkunsthalle.com/","평일 09:00 - 18:00 대관문의 평일 11:00 - 22:00 카페 평일 11:00 - 18:00 피규어갤러리(JDstudio)","월요일~일요일","","수인분당선,7호선 강남구청역 3번 출구에서 약 1km (도보 15분)","압구정로데오거리,타이거버스, SJ쿤스트할레, 강남구청역,문화예술플랫품, 시티투어버스정류장",""
"44032","ko","만나분식","https://korean.visitseoul.net/attractions/202303/KOPu5th9n?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOPu5th9n","  ","06284 서울 강남구 삼성로 212 (대치동, 은마아파트) ","02-557-7040","","","매일 10:00 ~ 20:00","","매달 1, 3번째 일요일 정기 휴무 & 2, 4번째 월요일 휴무","3호선 대치역 3번 출구에서 10m"," 떡볶이, 은마상가,분식, 대치동,오래가게, 강남, 떡꼬치",""
"1005","ko","가무","https://korean.visitseoul.net/attractions/가무/KOP001005?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP001005","  ","04536 서울 중구 명동4길 16 ","02-776-3141","","","11:00~23:00","매일","없음","4호선 명동역 6번 출구에서 320m","오래가게, 카페, 비엔나커피, 명동대성당, 앤티크, 명동",""
"29238","ko","서울메트로미술관","https://korean.visitseoul.net/attractions/서울메트로미술관/KOP029238?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP029238"," 서울 종로구 적선동 81-1 ","03170 서울 종로구 사직로 지하 130 (적선동, 3호선 경복궁역) ","1577-1234","","https://www.seoulmetro.co.kr:444/kr/rent.do?menuIdx=394","매일 7:00~22:00","","","3호선 경복궁역 6번 출구","문화공간, 공공미술관, 대관, 미술작품, 지하철역, 경복궁역, 전통,서울메트로미술관, 경복궁,전시,미술관",""
"24706","ko","만나분식","https://korean.visitseoul.net/attractions/Manna-Bunsik-kr/KOP024706?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP024706","  ","03039 서울 종로구 필운대로1길 4 1층 ","0507-1361-0937","","","매일 10:00 ~ 20:00","","매달 1, 3번째 일요일 정기 휴무 & 2, 4번째 월요일 휴무","3호선 경복궁역 1번 출구에서 407m"," 떡볶이,오래가게, 분식, 통인시장, 서촌, 효자동, 떡튀김",""
"26190","ko","낙원떡집","https://korean.visitseoul.net/attractions/낙원떡집/KOP026190?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP026190"," 서울 종로구 낙원동 9 ","03132 서울 종로구 삼일대로 438 (낙원동) ","02-732-5579","","","08:00~21:00","매일","없음","지하철 1/3/5호선 종로3가역 5번 출구,  202m","오래가게,종로3가,쑥떡,두텁떡,서울미래유산,호박설기,떡집,쑥인절미,오색경단",""
"18912","ko","가회민화박물관　","https://korean.visitseoul.net/attractions/가회민화박물관/KOP018912?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP018912","110-260 서울 종로구 가회동 28 ","03056 서울 종로구 북촌로 52 (가회동) 가회민화박물관","02-741-0466","","http://www.gahoemuseum.org/new/","10:00 ~ 18:00  * 관람 시 종료 40분 전까지 입장 * 체험 시 종료 1시간 전까지 입장","화요일 ~ 일요일","월요일 ","3호선 안국역 2번 출구에서 약 496m (도보 8분) "," 광화문,부적관계,안국역, 가회민화박물관,민화박물관, 박물관, 민속품, 가회동,민화,북촌, 전시, 전통, 북촌한옥마을",""
"43488","ko","경은상사","https://korean.visitseoul.net/attractions/2023097/KOPhujesr?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOPhujesr","  ","03140 서울 종로구 삼일대로 428 낙원상가 2층 B-282호 ","0507-1341-6464","","http://acousticgt.co.kr/","월요일~토요일 10:00~19:00, 일요일 12:00~18:00","매일","없음","1,3,5호선 종로3가역 5번 출구에서 약 106m (도보 1분)","기타,종각역,베이스기타,어쿠스틱기타,오래가게,일렉기타,클래식기타",""
"28052","ko","글벗서점","https://korean.visitseoul.net/attractions/글벗서점/KOP028052?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP028052"," 서울 마포구 성산동 150-7 ","03941 서울 마포구 월드컵북로 210 (성산동) ","02-333-1382","","","12:00~22:00","매일","없음","2호선, 공항철도, 경의중앙선 홍대입구역 6번 출구에서 약 312m (도보 5분) ","신촌,서점,책방,헌책,헌책방,오래가게,경의선책거리,연세대",""
"18897","ko","금박연","https://korean.visitseoul.net/attractions/금박연/KOP018897?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP018897","  ","03056 서울 종로구 북촌로12길 24-12 ","02-730-2067","","kumbakyeon.modoo.at","화요일 ~ 금요일 10:00 ~ 17:00 토요일 09:00 ~ 15:00 ","","일요일, 월요일, 명절","3호선 안국역 2번 출구에서 약 700m (도보 12분)"," 무형문화재, 전통, 서울미래유산,오래가게, 공예, 북촌, 공예체험,금박장식",""
"43607","ko","상진다방","https://korean.visitseoul.net/attractions/2023056/KOP4630x7?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP4630x7"," 서울 영등포구 문래동2가 14-84 ","07290 서울 영등포구 도림로133길 9 (문래동2가, 상진빌딩) ","02-2677-3554","","","월~금 07:00 - 18:00 토요일 07:00 - 15:00","월~토","일요일","2호선 문래역 7번출구에서 470m","쌍화차, 오래가게, 문래철공단지, 문래창작촌, 다방, 문래동, 배달전문",""
"25060","ko","갤러리 3안","https://korean.visitseoul.net/attractions/gallerly-3ann-kr/KOP025060?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP025060","110-230 서울 종로구 삼청동 27-22 ","03053 서울 종로구 북촌로 137-7 (삼청동) ","02-720-2722","","https://www.gallery3ann.com/","10:30 - 18:30","화요알~토요일","-일요일, 월요일","3호선 안국역 2번 출구 (종로 마을버스 02번 감사원 정류장 하차) 5호선 광화문역 4번 출구 (종로 마을버스 11번 탑승 후 교육과정평가원 정류장 하차)","삼청동전시회, 미술관, 광화문역, 전시, 갤러리카페3안,삼청동갤러리, 예술,갤러리3안, 갤러리",""
"11702","ko","라칸티나 ","https://korean.visitseoul.net/attractions/라칸티나/KOP011702?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP011702","100-842 서울 중구 을지로1가 50 삼성빌딩 지하 1층","04523 서울 중구 을지로 19 (을지로1가, 삼성빌딩) 삼성빌딩 지하 1층","02-777-2579","","","매일 11:30 ~ 15:00 / 17:00 ~ 22:00 공휴일 17:00 ~ 22:00","","매주 일요일","2호선 을지로입구역 1-1번 출구에서 약 100m (도보 1분)","을지로입구역, 을지로맛집,을지로음식점, 시청맛집, 시청음식점, 스파게티, 파스타맛집, 이탈리안레스토랑,라칸티나",""
"47060","ko","경복궁 집옥재","https://korean.visitseoul.net/attractions/2024-Jibokjae/KOPfk9nxi?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOPfk9nxi"," 서울 종로구 세종로 1-1 ","03045 서울 종로구 사직로 161 (세종로, 경복궁) ","070-7795-4309","","","10:00 ~ 16:00","수요일~월요일","화요일 휴무","3호선 경복궁역 5번 출구에서 약 1.1km (도보 24분)","경복궁,도서관,집옥재,청와대,광화문",""
"10611","ko","가미분식","https://korean.visitseoul.net/attractions/가미분식/KOP010608?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP010608","  ","03767 서울 서대문구 이화여대8길 2 무궁화상가아파트 ","02-364-3948","","","10:00~20:30","월요일~화요일, 목요일~일요일","수요일","2호선 이대역 3번 출구에서 약 207m (도보 3분) ","주먹밥,이대,얼큰우동,면요리,분식,오래가게",""
"25927","ko","명신당필방","https://korean.visitseoul.net/attractions/명신당필방/KOP025927?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP025927","  ","03148 서울 종로구 인사동길 34 ","02-736-2466","","https://www.myungsindang.co.kr/","09:30~19:00","매일","없음","1?3?5호선 종로3가역 5번 출구에서 358m (도보 6분)","오래가게, 쌈지길,서화재료판매,먹, 민화, 붓, 벼루, 문인화, 인사동",""
"2084","ko","가나아트센터","https://korean.visitseoul.net/attractions/ファゲサ(華?寺)テンプルステイ/KOP002082?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP002082","110-846 서울 종로구 평창동 97 ","03004 서울 종로구 평창30길 28 (가나아트센타) ","02-720-1020","","http://www.ganaart.com","10:00 - 19:00","화요일~일요일","월요일","3호선 홍제역 1번 출구에서 유진상가 정류장까지 약 397m (도보 6분) 163번 버스 탑승 후 롯데아파트 정류장에서 하차 가나아트센터까지 약 430m (도보 9분) ","심상풍경,아트센터,김종구,윤종석,예술,경복궁역,종로갤러리,가나아트센터,미술관,문화",""
"46873","ko","가봉루","https://korean.visitseoul.net/attractions/Gabongnu/KOP1y7wri?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP1y7wri"," 서울 종로구 당주동 168 ","03182 서울 종로구 새문안로5길 5-27 (당주동, 당주빌딩) ","02-736-8100","","","11:30~21:00","월요일-토요일","일요일","5호선 광화문역 8번 출구에서 약 109m (도보 1분)","오래가게,고기튀김,한국식중식,중식,종로,짜장면",""
"27812","ko","가원공방","https://korean.visitseoul.net/attractions/가원공방/KOP027812?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP027812","  ","03138 서울 종로구 돈화문로6나길 45 (봉익동) ","02-814-0250","","http://www.gawoncraft.co.kr/","월요일~금요일 10:30~19:00 ","평일","주말 정기휴무","1,3,5호선 종로 3가역 8번 출구에서 약 54m (도보 1분) "," 공방, 종로5,오래가게, 옥공예, 종로귀금속거리, 전통, 종로",""
"38858","ko","가을단풍길(월드컵로)","https://korean.visitseoul.net/attractions/가을단풍길월드컵로/KOP038858?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP038858"," 서울 마포구 상암동 1730 ","03906 서울 마포구 월드컵로42길 9-1 (가로판매대07) ","","","","","","","","가을산책하기좋은길,월드컵로가을단풍길,서울단풍,가을단풍길,서울드라이브코스,서울산책하기좋은길,서울산책코스,강아지산책코스,월드컵로,단풍명소추천,서울가을단풍명소",""
"29715","ko","개미슈퍼","https://korean.visitseoul.net/attractions/개미슈퍼/KOP029715?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP029715"," 서울 용산구 서계동 39 ","04303 서울 용산구 청파로85길 31 (서계동) ","02-714-3383","","","평일 09:00~01:00","","1, 3번째주 일요일","1?4?공항철도?경의중앙선 서울역 15번 출구에서 약 326m (도보 5분) "," 추억, 청파동, 서울역, 마트,슈퍼, 외국인명소,오래가게",""
"3241","ko","국제갤러리","https://korean.visitseoul.net/attractions/국제갤러리/KOP003241?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP003241","100-200 서울시 종로구 소격동 59-1 ","100-200 서울특별시 종로구 삼청로 54  (소격동) ","02-735-8449","","https://www.kukjegallery.com/","월요일~토요일 10:00~18:00 일요일?공휴일 10:00~17:00","월요일~일요일",""," 3호선 안국역 1번 출구에서 약 812m (도보 13분)","전시, 갤러리, 광화문역, 현대미술, 미술관,경복궁역, 더레스토랑,문화,광화문, 안국역, 작가발굴, 국제갤러리",""
"2247","ko","갤러리 팩토리","https://korean.visitseoul.net/attractions/대안-공간-팩토리/KOP002247?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP002247"," 서울 종로구 창성동 127-3 ","03043 서울 종로구 자하문로10길 15 ","02-733-4883","","http://factory483.org","11:00 - 19:00","화요일~일요일 ","월요일","3호선 경복궁역 3번 출구에서 약 459m (도보 7분) ","상수역,전시,갤러리팩토리,갤러리,예술,미술,창성동,시각예술,경복궁,팩토리2,아트숍,퍼블릭아트,광화문",""
"1872","ko","갤러리 학고재","https://korean.visitseoul.net/attractions/갤러리-학고재/KOP001871?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP001871"," 서울 종로구 소격동 70","03053 서울특별시 종로구 삼청로 50 (소격동) ","02-720-1524","","http://www.hakgojae.com","10:00~18:00","화요일~일요일","월요일","3호선 안국역 1번 출구에서 약 751m (도보 15분) "," 북촌갤러리, 미술관,인사동, 종로구, 삼청동갤러리,안국역, 학고재,소격동,갤러리, 북촌,문화",""
"1694","ko","갤러리 현대","https://korean.visitseoul.net/attractions/갤러리-현대/KOP001694?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP001694","110-190 서울 종로구 사간동 80 ","03062 서울 종로구 삼청로 14 (사간동, 현대갤러리) ","02-2287-3500","","http://www.galleryhyundai.com/","10:00~18:00","화요일 ~ 일요일","월요일","3호선 안국역 1번 출구에서 약 595m (도보 9분) "," 두가헌갤러리,갤러리현대,경복궁역,갤러리, 안국역, 두가헌, 전시, 사간동, 광화문, 미술관, 근현대미술,현대갤러리",""
"46391","ko","갤러리모순","https://korean.visitseoul.net/attractions/2024-mosoon/KOPxua216?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOPxua216"," 서울 중구 정동 1-28 ","04518 서울 중구 정동길 33 (정동, 신아일보) 203호 ","0507-1436-0433","","https://www.mosoon.co/","12:00~18:00","화요일 ~ 토요일","일요일, 월요일 ","1,2호선 시청역 12번 출구에서 507m (도보 8분)","덕수궁돌담길,정동길,갤러리,신아기념관,정동",""
"43470","ko","거안","https://korean.visitseoul.net/attractions/2023080/KOPx138ls?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOPx138ls","  ","03146 서울 종로구 인사동길 44 (관훈동, 쌈지길) ","0507-1406-8815","","http://geoan-design.com/","11:00~18:00","매일","없음","3호선 안국역 6번 출구에서 약 291m (도보 4분)","오래가게,느티나무,식탁,기러기,책장,쌈지길,책상",""
"1961","ko","겸재정선미술관","https://korean.visitseoul.net/attractions/겸재정선미술관/KOP001961?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP001961","157-801 서울 강서구 가양1동 243-1 ","07522 서울 강서구 양천로47길 36 (가양동, 겸재정선미술관) ","02-2659-2206","","https://culture.gangseo.seoul.kr/gsfc/main/contents.do?menuNo=800054","화요일~금요일 10:00 ~ 18:00 토요일~일요일 10:00 ~ 17:00 ","화요일~일요일 ","- 설, 추석의 전, 후일(명절 당일은 휴관) -어린이날, 삼일절, 광복절, 개천절, 한글날 ","9호선 양천향교역 1번 출구에서 약 487m (도보 7분) "," 미술관, 가양동, 전시, 서울식물원화가정선,정선,문화, 영화감상회, 겸재성선미술관,양천향교역",""
"23629","ko","서울시립과학관","https://korean.visitseoul.net/attractions/scienceseoul/KOP023629?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP023629"," 서울 노원구 하계동 21 ","01792 서울 노원구 한글비석로 160 (하계동, 서울시립과학관) ","02-970-4500","","http://science.seoul.go.kr/","09:30 ~ 17:30","화~일","-월요일 (공휴일 겹칠시 화요일 휴관) -1월 1일 -설날, 추석 당일","7호선 하계역 3번 출구 도보 15분","서울시립과학관,과학전시, 서울과학관, 시립과학관,전시,과학전시장,하계역, 과학, 과학프로그램, 서울여행",""
"1151","ko","경교장","https://korean.visitseoul.net/attractions/경교장/KOP001151?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP001151","110-746 서울 종로구 평동 108-1 ","03181 서울 종로구 새문안로 29 (경교장) ","02-735-2038","","http://www.museum.seoul.kr/www/intro/annexIntro/annex_21/annex_21_01.jsp?sso=ok","09:00 ~ 18:00 (17:30까지 입장 가능)","화요일~일요일 ","-월요일 -1월 1일","5호선 서대문역 4번 출구에서 약 325m (도보 5분)  "," 백범김구,종로구,경교장, 역사, 독립문역, 광화문,유적지, 서대문역,임시정부청사",""
"46608","ko","경국사 ","https://korean.visitseoul.net/attractions/2024-kgtemple/KOPkxi16h?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOPkxi16h"," 서울 성북구 정릉동 751 ","02705 서울 성북구 보국문로 113-10 (정릉동, 경국사) ","02-914-2828","","https://kb1.templestay.com/index.asp?t_id=kyungguksa","","","","우이신설선 북한산보국문역 2번 출구에서 252m (도보 4분) ","북한산,삼각산,사찰,경국사,절,불교",""
"28050","ko","경기떡집","https://korean.visitseoul.net/attractions/경기떡집/KOP028050?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP028050"," 서울 마포구 망원동 378-7 ","04013 서울 마포구 동교로9길 24 (망원동) ","02-333-8880","","https://www.kricecake.com/","07:00~18:00","월요일~토요일","일요일","지하철 6호선 망원역 2번 출구,  170m","이티떡,망원동,마포,이북식인절미,설기,오래가게",""
"72","ko","경복궁","https://korean.visitseoul.net/attractions/경복궁/KOP000072?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP000072","110-820 서울 종로구 세종로 1-1 ","03045 서울 종로구 사직로 161 (세종로, 경복궁) ","02-3700-3900","","https://royal.cha.go.kr/ROYAL/contents/menuInfo-gbg.do?grpCode=gbg","1월 ~ 2월 : 09:00~17:00(입장마감 16:00)  3월 ~ 5월 : 09:00~18:00(입장마감 17:00)  6월 ~ 8월 : 09:00~18:30(입장마감 17:30)  9월 ~ 10월 : 09:00~18:00(입장마감 17:00)  11월 ~ 12월 : 09:00~17:00(입장마감 16:00) ※ 기관 사정에 따라 관람시간 단축 및 조정이 있을 수 있습니다.  ","","화요일","5호선 광화문역 2번 출구에서 약 471m (도보 9분) 3호선 경복궁역 5번 출구에서 약 216m (도보 6분) ","한국역사적명소,경복궁입장료,경복궁,서울명소,서울궁궐,서울관광지,서울여행,서울데이트,서울가볼만한곳,한국문화,한국전통,서울볼거리,서울나들이","장애인화장실,장애인 전용 주차장,접근가능,장애인 안내(휠체어 대여 및 기타)"
"47055","ko","경복궁 돌담길 ","https://korean.visitseoul.net/attractions/2024-gbgstonewall/KOPldz98j?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOPldz98j"," 서울 종로구 세종로 1-1 ","03045 서울 종로구 사직로 161 (세종로, 경복궁) ","","","","","","","3호선 경복궁역 4번 출구에서 약 430m (도보 6분) ","돌담길,광화문,북촌,종로,경복궁,서촌,청와대,경복궁돌담길",""
"43615","ko","금복상회","https://korean.visitseoul.net/attractions/2023018/KOP8tfd7i?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP8tfd7i","  ","08539 서울 금천구 시흥대로146길 33 ","02-863-9127","","","","매일","없음","2호선 구로디지털단지역 6번 출구에서 약 1.5km (도보 26분)","독산역,명찰,봉제부속품,오래가게,이름표,구로",""
"28656","ko","백범광장공원","https://korean.visitseoul.net/attractions/백범광장공원/KOP028656?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP028656","100-873 서울 중구 회현동1가 100-5 ","04633 서울 중구 퇴계로8길 49-4 ","02-3783-5900","","","","","","4호선 회현역 4번 출구에서 약 512m (도보 13분) 1,4호선, 경의중앙선, 공항철도 서울역 10번 출구에서 약 679m (도보 16분)","명동,회현역, 독립운동가,문화유산,김구, 백범광장공원, 남산공원",""
"2012","ko","경인미술관","https://korean.visitseoul.net/attractions/경인미술관/KOP002011?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP002011","  ","03146 서울 종로구 인사동10길 11-4  ","02-733-4448","","http://www.kyunginart.co.kr/","10:00~18:00","매일","신정, 구정, 추석 휴관","3호선 안국역 5번 출구에서 약 354m (도보 5분)"," 경인미술관, 경인미술관,오래가게,인사동오래가게, 미술관, 미술관, 인사동, 문화, 전시회, 문화, 전시회",""
"20549","ko","경찰박물관","https://korean.visitseoul.net/attractions/경찰박물관/KOP020549?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP020549","110-062 서울 종로구 신문로2가 58 ","03178 서울 종로구 새문안로 41 (신문로2가, 경찰박물관) ","02-3150-3681	","","www.policemuseum.go.kr	","09:30 ~ 17:30","화~일","월요일(공휴일인 경우 그 다음날), 1월 1일, 설.추석 연휴","5호선 광화문역 1번 출구 5호선 서대문역 4번 출구","어린이체험관,경찰기념관,종로가볼만한곳,서울아이와함께가볼만한곳,어린이와함께,아이와서울여행,경찰,서울여행,박물관,서대문경찰박물관,경찰박물관",""
"1159","ko","경희궁","https://korean.visitseoul.net/attractions/경희궁/KOP001159?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP001159","110-062 서울 종로구 신문로2가 1-126 ","03177 서울 종로구 새문안로 45 (경희궁) ","02-724-0274","","https://museum.seoul.go.kr/www/intro/annexIntro/annex_20/annex_20_01.jsp?sso=ok","09:00 - 18:00","화요일 ~ 일요일","월요일, 1월 1일","5호선 서대문역 4번 출구에서 약 639m (도보 11분) 5호선 광화문역 7번 출구에서 약 875m (도보 14분)","서울궁,고궁투어,서울산책,서울5대궁궐,서울역사박물관,경희궁산책길,종로데이트코스,고궁데이트,서울고궁,걷기좋은길,경희궁,한국궁궐,종로산책길,서울가볼만한곳,종로산책",""
"6957","ko","경희대학교 자연사박물관","https://korean.visitseoul.net/attractions/경희대학교자연사박물관/KOP006957?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP006957","130-701 서울 동대문구 회기동 1 ","02447 서울특별시 동대문구 경희대로 26 자연사박물관","02-961-0142 ","","http://nhm.khu.ac.kr/","10:00 ~ 17:00 수요일 10:00 ~ 20:00","월-금","주말, 공휴일","1호선 외대앞 1번 출구, 1호선 회기역 1번 출구"," 유럽산암석,자연사박물관, 전시,회기역, 경희대자연사박물관,퇴작암,경희대학교, 경희대,외대앞역, 박물관,유물,화성암","장애인 전용 주차장"
